epoch, train_loss, train_acc, val_loss, val_acc, time, LR
1, 1.6934, 38.41%, 1.4608, 46.94%, 552.98s, 0.000300
2, 1.3499, 51.20%, 1.2470, 53.38%, 515.61s, 0.000299
3, 1.2196, 56.14%, 1.1966, 56.57%, 501.77s, 0.000297
4, 1.1334, 59.34%, 1.0999, 60.84%, 503.69s, 0.000295
5, 1.0673, 61.71%, 1.0308, 62.98%, 504.18s, 0.000293
6, 1.0101, 63.84%, 1.0042, 64.29%, 503.99s, 0.000289
7, 0.9613, 65.80%, 0.9724, 64.54%, 505.08s, 0.000286
8, 0.9155, 67.32%, 0.9381, 66.47%, 503.20s, 0.000281
9, 0.8776, 68.70%, 0.9180, 67.73%, 503.90s, 0.000277
10, 0.8332, 70.40%, 0.9072, 67.95%, 507.28s, 0.000271
11, 0.8048, 71.07%, 0.8342, 70.54%, 505.34s, 0.000266
12, 0.7639, 72.67%, 0.8501, 69.80%, 504.72s, 0.000259
13, 0.7283, 74.03%, 0.8082, 71.54%, 511.72s, 0.000253
14, 0.6987, 75.20%, 0.8060, 71.74%, 510.15s, 0.000246
15, 0.6606, 76.44%, 0.7942, 72.61%, 507.20s, 0.000238
16, 0.6311, 77.45%, 0.8119, 71.85%, 506.93s, 0.000230
17, 0.6008, 78.70%, 0.7612, 73.77%, 508.01s, 0.000222
18, 0.5694, 79.61%, 0.7561, 74.36%, 509.07s, 0.000214
19, 0.5337, 80.81%, 0.7626, 74.07%, 509.85s, 0.000205
20, 0.5107, 82.05%, 0.7553, 74.47%, 510.75s, 0.000196
21, 0.4756, 83.17%, 0.7723, 74.68%, 507.22s, 0.000187
22, 0.4453, 84.16%, 0.7730, 74.98%, 498.95s, 0.000178
23, 0.4190, 85.01%, 0.8013, 74.52%, 496.88s, 0.000169
24, 0.3919, 86.02%, 0.7730, 76.02%, 497.13s, 0.000159
25, 0.3599, 87.23%, 0.7823, 76.11%, 497.12s, 0.000150
26, 0.3332, 87.96%, 0.8138, 76.08%, 497.72s, 0.000141
27, 0.3056, 89.19%, 0.8063, 76.27%, 497.53s, 0.000131
28, 0.2794, 90.05%, 0.8389, 76.83%, 497.99s, 0.000122
29, 0.2588, 90.91%, 0.8337, 77.04%, 491.64s, 0.000113
30, 0.2363, 91.48%, 0.8786, 76.61%, 492.20s, 0.000104
31, 0.2175, 92.35%, 0.8851, 77.41%, 503.79s, 0.000095
32, 0.1994, 93.01%, 0.8769, 77.20%, 502.31s, 0.000086
33, 0.1803, 93.66%, 0.8882, 77.53%, 502.60s, 0.000078
34, 0.1665, 94.16%, 0.9181, 77.51%, 501.90s, 0.000070
35, 0.1498, 94.75%, 0.9023, 78.01%, 501.77s, 0.000062
36, 0.1374, 95.28%, 0.9300, 78.00%, 502.70s, 0.000054
37, 0.1247, 95.67%, 0.9822, 77.84%, 502.70s, 0.000047
38, 0.1101, 96.28%, 0.9580, 78.58%, 505.45s, 0.000041
39, 0.1020, 96.48%, 0.9927, 78.21%, 500.89s, 0.000034
40, 0.0946, 96.81%, 1.0116, 78.79%, 500.80s, 0.000029
41, 0.0867, 97.06%, 1.0245, 78.52%, 501.32s, 0.000023
42, 0.0800, 97.35%, 1.0376, 78.85%, 502.17s, 0.000019
43, 0.0768, 97.55%, 1.0182, 78.84%, 503.46s, 0.000014
44, 0.0696, 97.73%, 1.0354, 79.05%, 503.62s, 0.000011
45, 0.0684, 97.76%, 1.0515, 79.01%, 508.65s, 0.000007
46, 0.0639, 97.89%, 1.0439, 79.37%, 505.93s, 0.000005
47, 0.0628, 97.92%, 1.0492, 79.23%, 506.32s, 0.000003
48, 0.0588, 98.08%, 1.0520, 79.17%, 506.84s, 0.000001
49, 0.0587, 98.13%, 1.0492, 79.22%, 507.76s, 0.000000
50, 0.0586, 98.09%, 1.0470, 79.32%, 503.07s, 0.000000
