epoch, train_loss, train_acc, val_loss, val_acc, time, LR
1, 1.9277, 29.10%, 1.4532, 45.33%, 75.52s, 0.000999
2, 1.6161, 40.96%, 1.3022, 52.88%, 71.34s, 0.000996
3, 1.4949, 45.69%, 1.1868, 57.05%, 66.80s, 0.000991
4, 1.4016, 49.43%, 1.1661, 57.46%, 66.73s, 0.000984
5, 1.3203, 52.24%, 1.0579, 62.24%, 66.40s, 0.000976
6, 1.2633, 54.81%, 0.9967, 64.27%, 66.88s, 0.000965
7, 1.2095, 56.67%, 1.0659, 62.39%, 66.82s, 0.000952
8, 1.1734, 58.09%, 0.9696, 65.26%, 66.72s, 0.000938
9, 1.1155, 60.55%, 0.9214, 67.45%, 66.73s, 0.000922
10, 1.0754, 61.92%, 0.8850, 69.52%, 66.60s, 0.000905
11, 1.0368, 63.39%, 0.8880, 68.77%, 66.82s, 0.000885
12, 1.0053, 64.16%, 0.8221, 71.29%, 66.75s, 0.000864
13, 0.9610, 66.03%, 0.8303, 71.52%, 66.74s, 0.000842
14, 0.9394, 66.79%, 0.8126, 72.28%, 66.78s, 0.000819
15, 0.9013, 68.01%, 0.7913, 72.86%, 66.75s, 0.000794
16, 0.8750, 69.00%, 0.7656, 74.15%, 66.88s, 0.000768
17, 0.8515, 70.07%, 0.7888, 73.90%, 66.63s, 0.000741
18, 0.8141, 71.39%, 0.7769, 73.98%, 66.59s, 0.000713
19, 0.8004, 71.76%, 0.7546, 75.08%, 66.57s, 0.000684
20, 0.7719, 73.06%, 0.7581, 74.81%, 66.91s, 0.000655
21, 0.7473, 73.87%, 0.7728, 74.49%, 66.58s, 0.000624
22, 0.7231, 74.61%, 0.7513, 75.86%, 66.82s, 0.000594
23, 0.7042, 75.37%, 0.7845, 74.83%, 66.74s, 0.000563
24, 0.6758, 76.35%, 0.7450, 76.19%, 66.77s, 0.000531
25, 0.6571, 76.92%, 0.7730, 75.11%, 66.77s, 0.000500
26, 0.6338, 77.93%, 0.7587, 76.75%, 66.77s, 0.000469
27, 0.6228, 78.24%, 0.7736, 76.56%, 66.56s, 0.000437
