epoch, train_loss, train_acc, val_loss, val_acc, time, LR
1, 2.0748, 24.31%, 1.6051, 40.54%, 59.68s, 0.000999
2, 1.7887, 34.81%, 1.5092, 46.56%, 58.80s, 0.000996
3, 1.6804, 39.06%, 1.3638, 50.64%, 61.36s, 0.000991
4, 1.6090, 41.72%, 1.2892, 54.10%, 58.73s, 0.000984
5, 1.5576, 43.71%, 1.2660, 54.31%, 58.76s, 0.000976
6, 1.5098, 45.52%, 1.2085, 55.99%, 58.75s, 0.000965
7, 1.4753, 46.70%, 1.1743, 58.03%, 58.77s, 0.000952
8, 1.4303, 48.47%, 1.1741, 57.92%, 59.15s, 0.000938
9, 1.3938, 49.62%, 1.1332, 59.69%, 58.99s, 0.000922
10, 1.3564, 51.41%, 1.1046, 60.68%, 58.96s, 0.000905
11, 1.3256, 52.60%, 1.0661, 61.84%, 58.91s, 0.000885
12, 1.2885, 54.05%, 1.0314, 63.59%, 59.22s, 0.000864
13, 1.2563, 55.23%, 1.0078, 64.14%, 58.94s, 0.000842
14, 1.2199, 56.48%, 0.9772, 65.09%, 59.52s, 0.000819
15, 1.1837, 57.92%, 0.9508, 65.98%, 59.01s, 0.000794
16, 1.1619, 58.69%, 0.8965, 68.06%, 59.12s, 0.000768
17, 1.1264, 60.13%, 0.8882, 68.59%, 59.16s, 0.000741
18, 1.0987, 61.01%, 0.8598, 68.87%, 59.05s, 0.000713
19, 1.0733, 62.02%, 0.8626, 69.51%, 59.30s, 0.000684
20, 1.0509, 62.81%, 0.8246, 70.45%, 59.20s, 0.000655
21, 1.0252, 63.54%, 0.8438, 70.13%, 59.16s, 0.000624
22, 0.9992, 64.36%, 0.8110, 71.52%, 59.13s, 0.000594
23, 0.9807, 65.32%, 0.8109, 71.21%, 59.06s, 0.000563
24, 0.9476, 66.55%, 0.8203, 71.95%, 59.34s, 0.000531
25, 0.9331, 66.89%, 0.7859, 72.82%, 59.98s, 0.000500
26, 0.9078, 67.94%, 0.7966, 72.84%, 58.95s, 0.000469
27, 0.8854, 68.76%, 0.8016, 72.95%, 58.97s, 0.000437
28, 0.8671, 69.24%, 0.7534, 74.08%, 59.24s, 0.000406
29, 0.8400, 70.51%, 0.7429, 74.54%, 59.27s, 0.000376
30, 0.8197, 70.96%, 0.7380, 74.66%, 58.99s, 0.000345
31, 0.8045, 71.64%, 0.7317, 75.31%, 58.95s, 0.000316
32, 0.7810, 72.52%, 0.7651, 75.09%, 58.96s, 0.000287
33, 0.7702, 72.69%, 0.7431, 75.47%, 58.97s, 0.000259
34, 0.7497, 73.50%, 0.7664, 75.19%, 59.14s, 0.000232
35, 0.7318, 74.20%, 0.7413, 76.01%, 59.00s, 0.000206
36, 0.7165, 74.64%, 0.7337, 76.55%, 59.15s, 0.000181
37, 0.7043, 75.28%, 0.7372, 76.47%, 58.98s, 0.000158
38, 0.6901, 75.82%, 0.7175, 76.94%, 58.96s, 0.000136
39, 0.6824, 75.97%, 0.7265, 76.90%, 59.15s, 0.000115
40, 0.6689, 76.42%, 0.7167, 77.60%, 58.97s, 0.000095
41, 0.6590, 76.76%, 0.7277, 77.64%, 59.17s, 0.000078
