epoch, train_loss, train_acc, val_loss, val_acc, time, LR
1, 1.7687, 35.63%, 1.5773, 41.61%, 428.71s, 0.000300
2, 1.5040, 44.67%, 1.3746, 50.11%, 425.45s, 0.000299
3, 1.4162, 48.37%, 1.3139, 52.16%, 444.02s, 0.000297
4, 1.3436, 51.20%, 1.2771, 53.83%, 456.58s, 0.000295
5, 1.2799, 53.81%, 1.2369, 54.67%, 450.58s, 0.000293
6, 1.2312, 55.55%, 1.1801, 56.70%, 419.93s, 0.000289
7, 1.1778, 57.34%, 1.1233, 59.43%, 420.17s, 0.000286
8, 1.1348, 58.93%, 1.0932, 60.52%, 420.00s, 0.000281
9, 1.0910, 60.99%, 1.0579, 62.13%, 420.36s, 0.000277
10, 1.0485, 62.32%, 1.0002, 63.61%, 421.22s, 0.000271
11, 1.0042, 64.22%, 1.0002, 64.03%, 432.19s, 0.000266
12, 0.9667, 65.26%, 0.9367, 66.88%, 444.59s, 0.000259
13, 0.9265, 66.59%, 0.9400, 66.97%, 444.58s, 0.000253
14, 0.8854, 68.51%, 0.8794, 68.94%, 446.67s, 0.000246
15, 0.8489, 69.65%, 0.8876, 68.75%, 443.62s, 0.000238
16, 0.8202, 70.62%, 0.8724, 69.61%, 448.87s, 0.000230
17, 0.7830, 72.10%, 0.8386, 70.98%, 410.37s, 0.000222
18, 0.7496, 73.23%, 0.8061, 71.62%, 409.91s, 0.000214
19, 0.7152, 74.38%, 0.7728, 72.48%, 409.68s, 0.000205
20, 0.6825, 75.58%, 0.8007, 72.70%, 409.56s, 0.000196
21, 0.6455, 77.21%, 0.7479, 74.39%, 413.94s, 0.000187
22, 0.6204, 77.87%, 0.8071, 73.38%, 409.70s, 0.000178
23, 0.5850, 79.36%, 0.7270, 74.78%, 409.79s, 0.000169
24, 0.5492, 80.21%, 0.7328, 75.80%, 410.06s, 0.000159
25, 0.5166, 81.66%, 0.7323, 75.34%, 409.73s, 0.000150
26, 0.4888, 82.59%, 0.7509, 75.68%, 409.53s, 0.000141
27, 0.4561, 83.44%, 0.6992, 76.52%, 409.82s, 0.000131
28, 0.4249, 84.73%, 0.7206, 76.91%, 409.81s, 0.000122
29, 0.3966, 85.81%, 0.7346, 76.85%, 409.78s, 0.000113
30, 0.3643, 87.07%, 0.7160, 78.12%, 409.67s, 0.000104
31, 0.3378, 88.02%, 0.7481, 77.65%, 409.59s, 0.000095
32, 0.3168, 88.69%, 0.7559, 77.90%, 409.44s, 0.000086
33, 0.2865, 89.74%, 0.7353, 78.33%, 409.68s, 0.000078
34, 0.2633, 90.66%, 0.7770, 78.33%, 409.59s, 0.000070
35, 0.2388, 91.45%, 0.8167, 78.08%, 409.66s, 0.000062
36, 0.2209, 92.18%, 0.8213, 78.49%, 409.86s, 0.000054
37, 0.2000, 92.98%, 0.8341, 78.83%, 409.66s, 0.000047
38, 0.1844, 93.49%, 0.8470, 78.84%, 409.33s, 0.000041
39, 0.1724, 93.95%, 0.8616, 78.95%, 409.80s, 0.000034
40, 0.1547, 94.67%, 0.8809, 79.56%, 409.79s, 0.000029
41, 0.1490, 94.80%, 0.8640, 79.61%, 409.73s, 0.000023
42, 0.1360, 95.31%, 0.8755, 79.59%, 410.04s, 0.000019
43, 0.1264, 95.69%, 0.9151, 79.45%, 409.69s, 0.000014
44, 0.1161, 96.03%, 0.9109, 79.46%, 409.82s, 0.000011
45, 0.1057, 96.31%, 0.9199, 79.86%, 409.74s, 0.000007
46, 0.1065, 96.33%, 0.9223, 79.64%, 409.70s, 0.000005
47, 0.1058, 96.32%, 0.9208, 79.90%, 409.86s, 0.000003
48, 0.0997, 96.58%, 0.9222, 79.93%, 410.02s, 0.000001
49, 0.1011, 96.49%, 0.9243, 80.00%, 409.80s, 0.000000
50, 0.0991, 96.67%, 0.9254, 80.03%, 410.11s, 0.000000
