fold, epoch, train_loss, train_acc, val_loss, val_acc, time, LR
1, 1, 4.4119, 4.26%, 5.8318, 0.00%, 55.53s, 0.000300
1, 2, 4.0035, 7.96%, 5.7505, 0.65%, 52.84s, 0.000299
1, 3, 3.7921, 11.30%, 5.4526, 0.74%, 52.90s, 0.000297
1, 4, 3.5774, 15.21%, 5.6435, 0.19%, 52.84s, 0.000295
1, 5, 3.3483, 19.51%, 5.5630, 0.09%, 53.11s, 0.000293
1, 6, 3.1205, 24.00%, 5.4741, 0.74%, 53.67s, 0.000289
1, 7, 2.8591, 27.73%, 5.7226, 0.19%, 53.21s, 0.000286
1, 8, 2.5622, 34.68%, 5.6280, 1.85%, 52.94s, 0.000281
1, 9, 2.2582, 41.78%, 5.7205, 3.43%, 53.19s, 0.000277
1, 10, 1.9268, 49.33%, 5.5955, 4.35%, 53.44s, 0.000271
1, 11, 1.6114, 57.50%, 5.8513, 5.00%, 53.25s, 0.000266
1, 12, 1.2399, 65.76%, 5.7815, 6.76%, 53.48s, 0.000259
1, 13, 0.9899, 73.22%, 5.9563, 6.39%, 53.35s, 0.000253
1, 14, 0.7948, 78.22%, 6.3136, 6.11%, 53.04s, 0.000246
1, 15, 0.6133, 84.24%, 6.3535, 5.46%, 53.35s, 0.000238
1, 16, 0.4614, 88.06%, 6.4189, 6.02%, 53.20s, 0.000230
1, 17, 0.3864, 89.72%, 6.5772, 6.57%, 52.95s, 0.000222
1, 18, 0.3267, 91.88%, 6.7202, 6.30%, 53.10s, 0.000214
1, 19, 0.2482, 93.89%, 6.6613, 5.93%, 53.18s, 0.000205
1, 20, 0.2265, 94.49%, 6.7265, 6.85%, 53.36s, 0.000196
1, 21, 0.1971, 95.53%, 6.7906, 6.11%, 53.20s, 0.000187
1, 22, 0.1745, 95.86%, 6.6782, 6.94%, 53.51s, 0.000178
1, 23, 0.1423, 96.62%, 6.7807, 6.67%, 53.32s, 0.000169
1, 24, 0.1320, 96.90%, 6.9024, 7.59%, 53.27s, 0.000159
1, 25, 0.1136, 97.57%, 6.9454, 6.48%, 53.24s, 0.000150
1, 26, 0.1127, 97.43%, 6.8850, 7.04%, 53.44s, 0.000141
1, 27, 0.0944, 98.12%, 6.9831, 6.67%, 53.77s, 0.000131
1, 28, 0.0754, 98.47%, 6.8900, 7.50%, 53.21s, 0.000122
1, 29, 0.0803, 98.10%, 7.0564, 7.31%, 53.21s, 0.000113
1, 30, 0.0740, 98.43%, 6.9555, 7.31%, 53.25s, 0.000104
1, 31, 0.0648, 98.50%, 6.9817, 7.13%, 53.16s, 0.000095
1, 32, 0.0593, 98.89%, 7.0810, 7.22%, 53.33s, 0.000086
1, 33, 0.0550, 98.87%, 7.0064, 7.59%, 53.14s, 0.000078
1, 34, 0.0481, 99.00%, 6.8573, 7.50%, 53.14s, 0.000070
1, 35, 0.0458, 99.05%, 6.9706, 6.76%, 53.24s, 0.000062
1, 36, 0.0462, 99.03%, 6.9471, 8.15%, 53.39s, 0.000054
1, 37, 0.0385, 99.26%, 7.0126, 7.50%, 53.11s, 0.000047
1, 38, 0.0391, 99.19%, 7.0210, 7.31%, 53.17s, 0.000041
1, 39, 0.0359, 99.35%, 6.9552, 7.22%, 53.28s, 0.000034
1, 40, 0.0300, 99.42%, 7.0097, 7.04%, 53.10s, 0.000029
1, 41, 0.0316, 99.33%, 7.0852, 7.22%, 53.58s, 0.000023
1, 42, 0.0297, 99.35%, 7.1112, 6.39%, 53.23s, 0.000019
1, 43, 0.0244, 99.61%, 7.0783, 6.94%, 53.30s, 0.000014
1, 44, 0.0299, 99.44%, 7.0672, 7.50%, 53.27s, 0.000011
1, 45, 0.0242, 99.54%, 7.2007, 6.85%, 53.29s, 0.000007
1, 46, 0.0287, 99.33%, 7.2268, 5.74%, 53.21s, 0.000005
1, 47, 0.0266, 99.54%, 7.1387, 6.48%, 53.26s, 0.000003
1, 48, 0.0245, 99.65%, 7.1660, 6.85%, 53.26s, 0.000001
1, 49, 0.0240, 99.58%, 7.1064, 7.22%, 53.07s, 0.000000
1, 50, 0.0208, 99.68%, 7.0994, 6.76%, 53.15s, 0.000000
2, 1, 4.4555, 4.72%, 5.9766, 0.00%, 53.29s, 0.000300
2, 2, 4.0508, 6.78%, 5.7785, 0.74%, 53.18s, 0.000299
2, 3, 3.8757, 9.72%, 5.4995, 0.09%, 53.28s, 0.000297
2, 4, 3.6783, 13.17%, 5.2673, 1.39%, 53.18s, 0.000295
2, 5, 3.4758, 16.50%, 5.1523, 0.46%, 53.46s, 0.000293
2, 6, 3.2328, 21.09%, 5.4151, 0.37%, 53.28s, 0.000289
2, 7, 2.9729, 26.06%, 5.2893, 2.59%, 53.11s, 0.000286
2, 8, 2.7029, 31.78%, 5.0998, 3.70%, 53.36s, 0.000281
2, 9, 2.3893, 39.03%, 5.3787, 4.35%, 53.16s, 0.000277
