fold, epoch, train_loss, train_acc, val_loss, val_acc, time, LR
1, 1, 4.5052, 3.61%, 5.8260, 0.00%, 62.46s, 0.000300
1, 2, 4.0315, 8.24%, 5.6519, 0.00%, 53.70s, 0.000299
1, 3, 3.7348, 12.27%, 5.5783, 0.00%, 53.79s, 0.000297
1, 4, 3.5099, 16.48%, 5.6029, 0.28%, 53.93s, 0.000295
1, 5, 3.3272, 19.65%, 5.5372, 0.37%, 55.08s, 0.000293
1, 6, 3.1652, 22.89%, 5.4494, 1.39%, 55.83s, 0.000289
1, 7, 2.9457, 26.81%, 5.3200, 3.15%, 54.85s, 0.000286
1, 8, 2.7591, 30.42%, 5.3081, 1.57%, 55.17s, 0.000281
1, 9, 2.5765, 33.68%, 5.1566, 3.52%, 54.85s, 0.000277
1, 10, 2.3786, 39.05%, 5.4752, 2.87%, 55.50s, 0.000271
1, 11, 2.1291, 44.75%, 5.2899, 4.63%, 55.41s, 0.000266
1, 12, 1.8775, 49.33%, 5.4369, 5.28%, 55.56s, 0.000259
1, 13, 1.6553, 55.30%, 5.6196, 7.13%, 55.81s, 0.000253
1, 14, 1.3699, 63.52%, 5.8076, 6.39%, 55.84s, 0.000246
1, 15, 1.1835, 67.11%, 5.8307, 7.50%, 53.77s, 0.000238
1, 16, 0.9937, 72.78%, 5.9388, 7.13%, 53.50s, 0.000230
1, 17, 0.7927, 78.70%, 6.0915, 7.59%, 53.72s, 0.000222
1, 18, 0.6439, 83.10%, 5.9853, 8.24%, 53.63s, 0.000214
1, 19, 0.5363, 85.62%, 6.4462, 6.39%, 53.44s, 0.000205
1, 20, 0.4578, 88.19%, 6.1638, 8.98%, 53.73s, 0.000196
1, 21, 0.3955, 90.09%, 6.4822, 7.87%, 53.67s, 0.000187
1, 22, 0.3124, 91.99%, 6.3174, 8.06%, 53.55s, 0.000178
1, 23, 0.2691, 93.08%, 6.6867, 6.67%, 53.31s, 0.000169
1, 24, 0.2575, 93.77%, 6.4250, 6.94%, 53.32s, 0.000159
1, 25, 0.2612, 93.47%, 6.7167, 7.31%, 53.42s, 0.000150
1, 26, 0.2082, 95.21%, 6.6874, 6.67%, 53.39s, 0.000141
1, 27, 0.1821, 95.44%, 6.4869, 7.50%, 53.65s, 0.000131
1, 28, 0.1529, 96.48%, 6.5568, 8.24%, 53.39s, 0.000122
1, 29, 0.1404, 96.94%, 6.5257, 7.96%, 53.50s, 0.000113
1, 30, 0.1518, 96.30%, 6.5767, 7.50%, 53.65s, 0.000104
1, 31, 0.1136, 97.27%, 6.6519, 8.80%, 53.32s, 0.000095
1, 32, 0.1059, 97.57%, 6.5314, 8.43%, 53.43s, 0.000086
1, 33, 0.1035, 97.73%, 6.5327, 7.50%, 53.44s, 0.000078
1, 34, 0.0930, 97.96%, 6.6577, 7.31%, 53.55s, 0.000070
1, 35, 0.0912, 97.82%, 6.6426, 8.24%, 53.45s, 0.000062
1, 36, 0.0865, 98.10%, 6.7660, 7.31%, 53.56s, 0.000054
1, 37, 0.0679, 98.36%, 6.6760, 8.24%, 53.53s, 0.000047
1, 38, 0.0707, 98.47%, 6.8068, 7.87%, 53.58s, 0.000041
1, 39, 0.0738, 98.36%, 6.6388, 8.61%, 53.39s, 0.000034
1, 40, 0.0626, 98.61%, 6.7947, 8.33%, 53.98s, 0.000029
1, 41, 0.0616, 98.80%, 6.6199, 8.61%, 53.88s, 0.000023
1, 42, 0.0614, 98.61%, 6.7255, 8.06%, 53.19s, 0.000019
1, 43, 0.0547, 98.80%, 6.7890, 8.33%, 53.55s, 0.000014
1, 44, 0.0402, 99.07%, 6.7300, 8.15%, 56.05s, 0.000011
1, 45, 0.0519, 98.94%, 6.7756, 8.43%, 53.04s, 0.000007
1, 46, 0.0573, 98.59%, 6.6968, 7.96%, 53.12s, 0.000005
1, 47, 0.0473, 99.12%, 6.7492, 8.24%, 53.49s, 0.000003
1, 48, 0.0494, 99.05%, 6.7230, 7.96%, 53.24s, 0.000001
1, 49, 0.0472, 99.03%, 6.7202, 8.43%, 54.63s, 0.000000
1, 50, 0.0394, 99.26%, 6.6995, 8.43%, 54.54s, 0.000000
2, 1, 4.4693, 3.87%, 5.9046, 0.00%, 54.31s, 0.000300
2, 2, 4.0201, 7.66%, 5.6138, 0.00%, 54.64s, 0.000299
2, 3, 3.8143, 10.86%, 5.5985, 0.37%, 54.74s, 0.000297
2, 4, 3.6484, 13.87%, 5.5581, 1.02%, 54.86s, 0.000295
2, 5, 3.4518, 16.99%, 5.2462, 0.74%, 54.95s, 0.000293
2, 6, 3.2904, 20.02%, 5.1332, 2.50%, 55.03s, 0.000289
2, 7, 3.1157, 22.71%, 5.1926, 1.85%, 55.09s, 0.000286
2, 8, 2.9582, 25.46%, 5.2932, 1.94%, 55.48s, 0.000281
2, 9, 2.7515, 30.23%, 5.1061, 4.17%, 55.48s, 0.000277
2, 10, 2.5760, 35.32%, 5.1993, 2.78%, 53.70s, 0.000271
2, 11, 2.3845, 38.17%, 5.2386, 7.31%, 54.01s, 0.000266
2, 12, 2.1242, 43.63%, 5.2336, 6.39%, 53.84s, 0.000259
2, 13, 1.8879, 49.44%, 5.3608, 8.24%, 53.46s, 0.000253
2, 14, 1.6787, 54.28%, 5.1133, 11.02%, 53.59s, 0.000246
2, 15, 1.3975, 61.67%, 5.4005, 9.81%, 53.31s, 0.000238
2, 16, 1.1746, 67.78%, 5.5792, 11.20%, 53.53s, 0.000230
2, 17, 0.9447, 74.44%, 5.6348, 9.72%, 53.97s, 0.000222
2, 18, 0.8224, 77.99%, 5.7848, 10.19%, 53.28s, 0.000214
2, 19, 0.6482, 82.62%, 6.0919, 11.94%, 53.07s, 0.000205
2, 20, 0.5377, 85.76%, 5.8080, 12.13%, 53.12s, 0.000196
2, 21, 0.4375, 88.68%, 6.0458, 10.19%, 50.26s, 0.000187
2, 22, 0.3478, 91.41%, 6.0037, 11.11%, 48.26s, 0.000178
2, 23, 0.3338, 91.67%, 6.1265, 10.93%, 48.38s, 0.000169
2, 24, 0.2986, 92.85%, 6.1692, 10.93%, 48.37s, 0.000159
2, 25, 0.2670, 93.54%, 6.1829, 11.39%, 48.35s, 0.000150
2, 26, 0.2256, 94.40%, 6.2006, 12.04%, 48.79s, 0.000141
2, 27, 0.2092, 95.09%, 6.1690, 12.59%, 48.37s, 0.000131
2, 28, 0.1835, 95.62%, 6.2327, 11.11%, 48.56s, 0.000122
2, 29, 0.1665, 96.41%, 6.2767, 11.94%, 48.27s, 0.000113
2, 30, 0.1670, 96.18%, 6.3782, 11.30%, 48.61s, 0.000104
2, 31, 0.1314, 97.20%, 6.3134, 11.94%, 48.34s, 0.000095
2, 32, 0.1285, 97.04%, 6.3708, 12.41%, 48.63s, 0.000086
2, 33, 0.1154, 97.45%, 6.4377, 12.31%, 48.38s, 0.000078
2, 34, 0.1108, 97.55%, 6.3121, 12.50%, 48.35s, 0.000070
2, 35, 0.0954, 97.85%, 6.3532, 13.24%, 48.84s, 0.000062
2, 36, 0.0910, 97.82%, 6.4186, 10.65%, 47.65s, 0.000054
2, 37, 0.0842, 98.10%, 6.2149, 11.94%, 47.67s, 0.000047
2, 38, 0.0836, 98.31%, 6.3787, 11.85%, 47.58s, 0.000041
2, 39, 0.0691, 98.43%, 6.3668, 11.85%, 47.84s, 0.000034
2, 40, 0.0622, 98.66%, 6.5164, 11.39%, 47.94s, 0.000029
2, 41, 0.0732, 98.45%, 6.4519, 12.31%, 48.05s, 0.000023
2, 42, 0.0658, 98.43%, 6.3837, 13.43%, 48.30s, 0.000019
2, 43, 0.0625, 98.61%, 6.4536, 12.31%, 48.21s, 0.000014
2, 44, 0.0586, 98.73%, 6.4874, 12.69%, 48.47s, 0.000011
2, 45, 0.0562, 98.70%, 6.4492, 11.94%, 48.40s, 0.000007
2, 46, 0.0546, 98.77%, 6.4531, 13.61%, 48.39s, 0.000005
2, 47, 0.0567, 98.82%, 6.4566, 12.96%, 48.32s, 0.000003
2, 48, 0.0508, 98.94%, 6.4950, 12.69%, 48.23s, 0.000001
2, 49, 0.0456, 99.17%, 6.3979, 13.52%, 48.14s, 0.000000
2, 50, 0.0432, 99.17%, 6.4561, 12.04%, 48.25s, 0.000000
3, 1, 4.4603, 3.75%, 5.7872, 0.00%, 49.12s, 0.000300
