aepoch, train_loss, train_acc, val_loss, val_acc, time, LR
1, 4.5523, 3.73%, 4.2140, 6.20%, 59.01s, 0.000300
2, 4.1795, 6.13%, 4.0472, 8.70%, 55.09s, 0.000299
3, 4.0078, 9.26%, 4.0934, 7.22%, 56.34s, 0.000297
4, 3.8017, 10.83%, 3.8393, 12.31%, 52.73s, 0.000295
5, 3.6231, 14.68%, 3.7391, 14.17%, 49.62s, 0.000293
6, 3.3864, 18.87%, 3.6344, 14.63%, 49.79s, 0.000289
7, 3.1976, 21.18%, 3.5631, 19.81%, 52.80s, 0.000286
8, 2.9293, 27.38%, 3.4673, 21.20%, 55.23s, 0.000281
9, 2.6871, 32.34%, 3.4050, 23.33%, 53.34s, 0.000277
10, 2.3829, 39.44%, 3.4621, 23.24%, 63.78s, 0.000271
11, 2.0859, 45.46%, 3.4034, 27.22%, 54.95s, 0.000266
12, 1.7749, 53.17%, 3.3530, 31.11%, 54.15s, 0.000259
13, 1.4503, 61.57%, 3.3503, 32.96%, 53.58s, 0.000253
14, 1.1419, 69.56%, 3.4199, 33.06%, 52.14s, 0.000246
15, 0.9021, 76.00%, 3.4267, 35.93%, 53.27s, 0.000238
16, 0.7500, 80.39%, 3.3782, 38.24%, 52.90s, 0.000230
17, 0.5699, 86.13%, 3.4444, 37.96%, 51.37s, 0.000222
18, 0.4575, 88.54%, 3.4763, 40.37%, 53.12s, 0.000214
19, 0.3642, 91.25%, 3.4762, 40.74%, 52.01s, 0.000205
20, 0.3058, 92.27%, 3.5297, 40.65%, 52.00s, 0.000196
21, 0.2490, 94.38%, 3.5833, 40.56%, 52.31s, 0.000187
22, 0.2027, 95.74%, 3.5800, 40.46%, 52.31s, 0.000178
23, 0.1738, 96.32%, 3.5756, 41.57%, 53.07s, 0.000169
24, 0.1428, 97.25%, 3.6021, 41.85%, 53.32s, 0.000159
25, 0.1249, 97.55%, 3.6139, 42.04%, 54.18s, 0.000150
26, 0.1433, 96.78%, 3.6239, 41.85%, 53.38s, 0.000141
27, 0.1146, 97.75%, 3.6499, 42.69%, 53.37s, 0.000131
28, 0.1010, 97.89%, 3.6437, 42.50%, 53.08s, 0.000122
29, 0.1113, 97.59%, 3.6006, 42.87%, 53.78s, 0.000113
30, 0.0820, 98.29%, 3.6969, 41.39%, 57.62s, 0.000104
31, 0.0932, 97.92%, 3.7039, 42.04%, 57.64s, 0.000095
32, 0.0711, 98.66%, 3.7141, 42.13%, 58.12s, 0.000086
33, 0.0656, 98.87%, 3.7323, 42.13%, 57.66s, 0.000078
34, 0.0605, 98.68%, 3.7278, 41.94%, 58.42s, 0.000070
35, 0.0617, 98.91%, 3.7106, 41.85%, 58.77s, 0.000062
36, 0.0462, 99.19%, 3.6978, 42.31%, 58.79s, 0.000054
37, 0.0451, 99.33%, 3.6850, 42.31%, 58.56s, 0.000047
38, 0.0545, 98.94%, 3.7770, 41.94%, 59.53s, 0.000041
39, 0.0397, 99.42%, 3.7609, 42.04%, 59.81s, 0.000034
40, 0.0415, 99.14%, 3.7455, 43.24%, 63.24s, 0.000029
41, 0.0349, 99.33%, 3.7563, 42.69%, 59.39s, 0.000023
42, 0.0370, 99.40%, 3.7454, 42.87%, 59.88s, 0.000019
43, 0.0366, 99.33%, 3.7282, 43.06%, 60.18s, 0.000014
44, 0.0386, 99.19%, 3.7495, 43.43%, 58.45s, 0.000011
45, 0.0314, 99.51%, 3.7512, 43.52%, 57.58s, 0.000007
46, 0.0297, 99.47%, 3.7376, 43.70%, 57.39s, 0.000005
47, 0.0282, 99.63%, 3.7288, 43.80%, 57.75s, 0.000003
48, 0.0307, 99.40%, 3.7335, 43.61%, 57.64s, 0.000001
49, 0.0340, 99.51%, 3.7350, 43.61%, 56.03s, 0.000000
50, 0.0283, 99.68%, 3.7356, 43.52%, 51.50s, 0.000000
